ID,FinalHeight,Flower,FlowerDate,Capsule Count,POP,ML,BLK,Row,ConsumedBefore,Consumption_,Consumption,ID,Capitate,Single,Branched,Peltate,Length,FinalHeight,Seed Count,TRT,TAGID,Height1,Leaf1,Leaf2,HerbDamage1,PerDamage1,Height3,Leaf3,HerbDamage2,PerDamage2,Environment
1,29,0,,1,3,9,1,1,0.056666667,0.056666667,0.056666667,1,5,8,165,9,66863.379,29,40,0,T1_B1_9,6.8,5,5,NA,NA,5.5,6,NA,NA,1
103,60,3,10-Aug,3,3,9,1,2,0.056666667,0.059666667,0.056666667,103,9,10,173,13,74956.603,60,120,0,T1_B1_9,16.5,5,6,NA,NA,37.2,7,NA,NA,1
41,106,12,7-Aug,14,3,9,1,1,0.056666667,0.105666667,0.105666667,41,NA,NA,NA,NA,NA,106,560,0,T1_B1_9,17.8,10,9,NA,NA,47,10,NA,NA,1
170,160,34,3-Aug,101,3,9,1,2,0.056666667,0,0.056666667,170,NA,NA,NA,NA,NA,160,4040,0,T1_B1_9,18.8,8,13,NA,NA,72,23,NA,NA,1
376,159,23,2-Aug,124,3,9,2,4,0.056666667,0,0.056666667,376,NA,NA,NA,NA,NA,159,4960,0,T3_B2_9,18.1,8,11,NA,NA,80,24,NA,NA,1
545,58,2,11-Aug,10,3,9,2,6,0.056666667,0,0.034625,545,NA,NA,NA,NA,NA,58,400,0,T3_B2_9,,,7,NA,NA,30.2,7,NA,NA,1
597,130,13,10-Aug,110,3,9,2,6,0.056666667,0,0.018666667,597,NA,NA,NA,NA,NA,130,4400,0,T1_B2_9,,,8,NA,NA,41,11,NA,NA,1
624,121,4,11-Aug,130,3,9,2,7,0.056666667,0,0.03325,624,NA,NA,NA,NA,NA,121,5200,0,T3_B2_9,,,6,NA,NA,35.6,8,NA,NA,1
920,153,,6-Aug,147,3,9,3,10,0.056666667,0,0.0195,920,NA,NA,NA,NA,NA,153,5880,0,T2_B3_9,30.6,8,11,NA,NA,68,12,NA,NA,1
925,111,,27-Aug,98,3,9,3,10,0.056666667,0,0.086444444,925,NA,NA,NA,NA,NA,111,3920,0,T2_B3_9,25.5,5,7,NA,NA,33.6,8,NA,NA,1
69,91,13,6-Aug,19,3,12,1,1,0.1485,0.1485,0.1485,69,NA,NA,NA,NA,NA,91,760,0,T1_B1_12,15,7,9,NA,NA,51.5,8,NA,NA,1
113,121,29,2-Aug,33,3,12,1,2,0.1485,0.2205,0.2205,113,NA,NA,NA,NA,NA,121,1320,0,T1_B1_12,17,7,9,NA,NA,59.3,11,NA,NA,1
162,149,61,29-Jul,86,3,12,1,2,0.1485,0.232166667,0.232166667,162,NA,NA,NA,NA,NA,149,3440,0,T1_B1_12,18.5,8,10,NA,NA,69,22,NA,NA,1
276,120,12,3-Aug,23,3,12,1,3,0.1485,0,0.1485,276,NA,NA,NA,NA,NA,120,920,0,T2_B1_12,18.5,5,6,NA,NA,40.5,10,NA,NA,1
362,140,29,3-Aug,111,3,12,2,4,0.1485,0,0.1485,362,NA,NA,NA,NA,NA,140,4440,0,T3_B2_12,18.5,7,9,NA,NA,60.4,11,NA,NA,1
560,159,60,1-Aug,184,3,12,2,6,0.1485,0,0.050055556,560,NA,NA,NA,NA,NA,159,7360,0,T3_B2_12,,,12,NA,NA,65.8,20,NA,NA,1
579,98,4,13-Aug,78,3,12,2,6,,0,0.056666667,579,NA,NA,NA,NA,NA,98,3120,0,T3_B2_12,,,9,NA,NA,,,NA,NA,1
590,113,19,9-Aug,91,3,12,2,6,0.1485,0.178833333,0.049555556,590,NA,NA,NA,NA,NA,113,3640,0,T1_B2_12,,,9,NA,NA,42,10,NA,NA,1
713,151,27,2-Aug,177,3,12,2,8,0.1485,0.16275,0.2555,713,NA,NA,NA,NA,NA,151,7080,0,T3_B2_12,,,10,NA,NA,66.3,15,NA,NA,1
809,121,,10-Aug,31,3,12,3,9,0.1485,0,6.212,809,NA,NA,NA,NA,NA,121,1240,0,T2_B3_12,17,5,8,NA,NA,33,10,NA,NA,1
867,148,,4-Aug,137,3,12,3,9,0.1485,0,0.071833333,867,NA,NA,NA,NA,NA,148,5480,0,T1_B3_12,18,7,10,NA,NA,66,11,NA,NA,1
931,152,,2-Aug,170,3,12,3,10,0.1485,0,0.011333333,931,NA,NA,NA,NA,NA,152,6800,0,T2_B3_12,29,8,11,NA,NA,67,19,NA,NA,1
604,139,19,6-Aug,141,3,15,2,7,0.0348,0.0388,0.025222222,604,19,59,101,17,49465.126,139,5640,0,T3_B2_15,,,9,NA,NA,60.5,11,NA,NA,1
697,27,5,10-Aug,14,3,15,2,7,0.0348,0,0.07,697,33,9,58,4,26186.003,27,560,0,T3_B2_15,,,6,NA,NA,45,8,NA,NA,1
626,51,0,27-Aug,5,3,15,2,7,0.0348,0,0.056666667,626,42,28,30,9,20081.036,51,200,0,T3_B2_15,,,5,NA,NA,25.4,6,NA,NA,1
30,160,,,104,3,15,1,1,0.0348,0.159466667,0.159466667,30,NA,NA,NA,NA,NA,160,4160,0,T1_B1_15,27.5,14,20,NA,NA,82,32,NA,NA,1
54,94,10,8-Aug,9,3,15,1,1,0.0348,0.0348,0.0348,54,NA,NA,NA,NA,NA,94,360,0,T2_B1_15,10.3,6,8,NA,NA,37.5,8,NA,NA,1
174,139,44,1-Aug,57,3,15,1,2,0.0348,0,0.0348,174,NA,NA,NA,NA,NA,139,2280,0,T2_B1_15,15,8,10,NA,NA,62.7,13,NA,NA,1
314,129,10,8-Aug,,3,15,2,4,0.0348,0,0.0348,314,NA,NA,NA,NA,NA,129,1476,0,T2_B1_15,16,6,10,NA,NA,50.2,10,NA,NA,1
346,72,7,8-Aug,65,3,15,2,4,0.0348,0,0.0348,346,NA,NA,NA,NA,NA,72,2600,0,T3_B1_15,11.8,5,7,NA,NA,30,7,NA,NA,1
